risk_per_trade,max_notional_per_trade,slippage_pct,dynamic_notional,final_equity,net_pnl,total_trades,win_rate,expectancy,max_drawdown
0.005,0.01,0.0002,False,21054.421419794955,11054.421419794955,5659,0.3599575896801555,1.9534231171222736,-0.5178500955568729
0.005,0.01,0.0005,False,17972.701600190478,7972.701600190478,5659,0.3597808800141368,1.4088534370366688,-0.6311230853922325
0.005,0.05,0.0002,False,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.005,0.05,0.0005,False,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
0.01,0.01,0.0002,False,21054.421419794955,11054.421419794955,5659,0.3599575896801555,1.9534231171222736,-0.5178500955568729
0.01,0.01,0.0005,False,17972.701600190478,7972.701600190478,5659,0.3597808800141368,1.4088534370366688,-0.6311230853922325
0.01,0.05,0.0002,False,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.01,0.05,0.0005,False,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
0.02,0.01,0.0002,False,21054.421419794955,11054.421419794955,5659,0.3599575896801555,1.9534231171222736,-0.5178500955568729
0.02,0.01,0.0005,False,17972.701600190478,7972.701600190478,5659,0.3597808800141368,1.4088534370366688,-0.6311230853922325
0.02,0.05,0.0002,False,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.02,0.05,0.0005,False,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
