entry_index,exit_index,direction,entry_price,exit_price,exit_reason,qty,pl,pnl_pct
2020-03-24,2020-04-07,1,2344.43994140625,2718.4941755022323,TP,4365,1630699.0357601154,0.0079667091429196
2020-04-02,2020-04-09,1,2458.5400390625,2795.59716796875,TP,4195,1411890.9406689452,0.0068432138265139
2020-03-16,2020-03-23,-1,2508.590087890625,2193.6529366629466,TP,4054,1274720.2462337466,0.0062666161829916
2025-04-09,2025-04-09,1,4965.27978515625,5291.302664620535,TP,3877,1260139.6257376242,0.0032724338574958
2020-04-06,2020-04-17,1,2578.280029296875,2857.462820870536,TP,4028,1122470.2220671042,0.0054034599890828
2020-03-12,2020-03-18,-1,2630.860107421875,2362.3986467633927,TP,3846,1030478.1200978942,0.0050916984254918
2020-03-11,2020-03-12,-1,2825.60009765625,2575.264369419643,TP,3565,890431.2182938746,0.0044191552848826
2022-10-17,2022-10-25,1,3638.64990234375,3835.249860491072,TP,4015,786425.996089914,0.0026914525693269
2022-05-23,2022-05-27,1,3919.419921875,4149.965611049107,TP,3407,782797.4702814166,0.0029309060525782
2022-05-25,2022-05-27,1,3929.590087890625,4155.474330357143,TP,3408,767134.0897219875,0.0028638663848993
