entry_index,exit_index,direction,entry_price,exit_price,exit_reason,qty,pl,pnl_pct
2022-05-20,2022-05-20,1,3927.760009765625,3814.330008370536,SL,3231,-369031.45302584383,-0.0014538559343743
2024-08-05,2024-08-05,-1,5151.14013671875,5240.02294921875,SL,3298,-296534.2076591797,-0.0008725694876841
2025-04-01,2025-04-02,-1,5597.52978515625,5687.234793526785,SL,3257,-295816.44316488435,-0.0008110793809154
2025-04-02,2025-04-02,-1,5580.759765625,5670.17546735491,SL,3265,-295587.50227511034,-0.0008111095373766
2022-03-11,2022-03-14,1,4279.5,4177.826450892857,SL,2863,-293542.8127937508,-0.0011978615001218
2022-09-23,2022-10-05,-1,3727.139892578125,3806.1019984654017,SL,3679,-293245.01709225005,-0.0010690722112479
2022-03-04,2022-03-18,-1,4342.1201171875,4436.300083705357,SL,2824,-268417.6548886153,-0.0010941347112022
2025-05-19,2025-06-04,-1,5902.8798828125,5983.087018694197,SL,3134,-255070.0889637839,-0.000689319991569
2022-01-26,2022-01-26,1,4408.43017578125,4317.595982142857,SL,2728,-250201.9197494427,-0.0010399136394487
2022-03-24,2022-04-12,1,4469.97998046875,4382.085797991072,SL,2757,-244790.00805218992,-0.0009929126026224
