fold,fold_start_date,fold_end_date,test_start_date,test_end_date,test_size,precision_long,precision_short,recall_long,recall_short,net_pnl,total_trades,win_rate,expectancy,max_drawdown
1,1928-11-02 00:00:00,1933-09-26 00:00:00,1932-12-22 00:00:00,1933-09-26 00:00:00,184,0.0,0.2857142857142857,0.0,0.8292682926829268,-108.68438520906986,125,0.392,-0.8694750816725589,-0.018679039218771062
2,1933-09-27 00:00:00,1938-08-09 00:00:00,1937-11-18 00:00:00,1938-08-09 00:00:00,184,0.4125,0.22727272727272727,0.5076923076923077,0.08928571428571429,-12.240791698646445,101,0.40594059405940597,-0.12119595741234068,-0.006202496489500014
3,1938-08-10 00:00:00,1943-06-25 00:00:00,1942-09-29 00:00:00,1943-06-25 00:00:00,184,0.5555555555555556,0.18085106382978725,0.3191489361702128,0.5483870967741935,-116.9342202856063,147,0.4489795918367347,-0.7954708862966413,-0.012678876032180918
4,1943-06-28 00:00:00,1948-05-14 00:00:00,1947-08-19 00:00:00,1948-05-14 00:00:00,184,0.28695652173913044,0.21052631578947367,0.559322033898305,0.07017543859649122,-100.71717735301422,133,0.39097744360902253,-0.7572720101730395,-0.010236597550076929
5,1948-05-17 00:00:00,1953-04-02 00:00:00,1952-07-08 00:00:00,1953-04-02 00:00:00,184,0.42424242424242425,0.16666666666666666,0.19718309859154928,0.02,-21.444650658525937,39,0.48717948717948717,-0.5498628373981009,-0.002160694690323641
6,1953-04-06 00:00:00,1958-02-04 00:00:00,1957-05-14 00:00:00,1958-02-04 00:00:00,184,0.3706896551724138,0.875,0.8269230769230769,0.19718309859154928,-86.2625646272932,131,0.5038167938931297,-0.6584928597503301,-0.01007238422105327
7,1958-02-05 00:00:00,1962-12-06 00:00:00,1962-03-16 00:00:00,1962-12-06 00:00:00,184,0.1836734693877551,0.23809523809523808,0.391304347826087,0.21739130434782608,-106.56364768709467,90,0.4111111111111111,-1.184040529856608,-0.018929259550218222
8,1962-12-07 00:00:00,1967-10-09 00:00:00,1967-01-18 00:00:00,1967-10-09 00:00:00,184,0.0,0.0,0.0,0.0,-3.7248875985281646,1,0.0,-3.7248875985281646,-0.00037248875985278576
9,1967-10-10 00:00:00,1972-09-15 00:00:00,1971-12-28 00:00:00,1972-09-15 00:00:00,184,0.0,0.0,0.0,0.0,-78.50071163569858,37,0.08108108108108109,-2.1216408550188803,-0.0078500711635701
10,1972-09-18 00:00:00,1977-07-19 00:00:00,1976-10-25 00:00:00,1977-07-19 00:00:00,184,0.1111111111111111,0.0,0.42105263157894735,0.0,-58.6252593468803,72,0.3055555555555556,-0.8142397131511157,-0.007062060381364495
11,1977-07-20 00:00:00,1982-05-14 00:00:00,1981-08-24 00:00:00,1982-05-14 00:00:00,184,0.14728682170542637,0.20833333333333334,0.9047619047619048,0.16129032258064516,-149.9490575544086,152,0.32894736842105265,-0.9865069575947942,-0.015800409038985795
12,1982-05-17 00:00:00,1987-03-11 00:00:00,1986-06-19 00:00:00,1987-03-11 00:00:00,184,1.0,0.12222222222222222,0.0196078431372549,0.3548387096774194,-248.3590776955741,90,0.14444444444444443,-2.759545307728601,-0.024835907769558435
13,1987-03-12 00:00:00,1992-01-06 00:00:00,1991-04-16 00:00:00,1992-01-06 00:00:00,184,0.0,0.25833333333333336,0.0,0.8378378378378378,-25.67017012939517,120,0.4083333333333333,-0.21391808441162663,-0.011537705203480105
14,1992-01-07 00:00:00,1996-10-29 00:00:00,1996-02-08 00:00:00,1996-10-29 00:00:00,184,0.2777777777777778,0.0,0.1388888888888889,0.0,-27.53434235142301,20,0.3,-1.37671711757115,-0.004961774953718448
15,1996-10-30 00:00:00,2001-08-29 00:00:00,2000-12-06 00:00:00,2001-08-29 00:00:00,184,0.12871287128712872,0.7741935483870968,0.65,0.36923076923076925,19.463104771206247,131,0.366412213740458,0.14857331886416958,-0.07153702836634972
16,2001-08-30 00:00:00,2006-07-10 00:00:00,2005-10-14 00:00:00,2006-07-10 00:00:00,184,0.0,0.20512820512820512,0.0,0.21621621621621623,-170.55793529227117,39,0.2564102564102564,-4.373280392109518,-0.017209308806881513
17,2006-07-11 00:00:00,2011-05-11 00:00:00,2010-08-19 00:00:00,2011-05-11 00:00:00,184,0.2857142857142857,0.0,0.15789473684210525,0.0,-44.626361240931715,28,0.32142857142857145,-1.5937986157475628,-0.0095260063953652
18,2011-05-12 00:00:00,2016-03-16 00:00:00,2015-06-24 00:00:00,2016-03-16 00:00:00,184,0.23529411764705882,0.49295774647887325,0.4444444444444444,0.5932203389830508,1629.2934948172426,122,0.5409836065573771,13.354864711616749,-0.057269546254512096
19,2016-03-17 00:00:00,2021-01-19 00:00:00,2020-04-28 00:00:00,2021-01-19 00:00:00,184,1.0,0.13636363636363635,0.023809523809523808,0.8571428571428571,-2286.60825960519,132,0.24242424242424243,-17.322789845493865,-0.26747156859655613
20,2021-01-20 00:00:00,2025-12-16 00:00:00,2025-03-24 00:00:00,2025-12-16 00:00:00,186,0.0,0.375,0.0,0.1935483870967742,-660.9229248883948,20,0.25,-33.04614624441973,-0.08154329221958688
