fold,test_size,total_trades,win_rate,net_pnl,expectancy,max_drawdown
1,366,365,0.40273972602739727,96.25240057810358,0.2637052070632975,-0.031208164902722362
2,366,365,0.3315068493150685,-282.34489960509757,-0.7735476701509509,-0.035611156109024725
3,366,365,0.3561643835616438,-376.0703332757954,-1.030329680207659,-0.04189862940686549
4,366,365,0.44931506849315067,-118.74084017445728,-0.3253173703409793,-0.02342186065665093
5,366,365,0.4657534246575342,-95.96951760199433,-0.26293018521094336,-0.011538234564896348
6,366,365,0.4657534246575342,-119.86208184381238,-0.3283892653255136,-0.018266326138285705
7,366,365,0.4767123287671233,74.75561359252912,0.2048099002535051,-0.016728765487040862
8,366,365,0.4547945205479452,49.18846723641008,0.13476292393537026,-0.01144487904024618
9,366,365,0.3232876712328767,-374.9682995233807,-1.0273104096530976,-0.03932051529742483
10,366,365,0.26301369863013696,-555.3971941728587,-1.521636148418791,-0.057841538539769
11,366,365,0.3150684931506849,-539.2600282400401,-1.4774247349042193,-0.05359297970231356
12,366,365,0.3452054794520548,-466.2295569932941,-1.2773412520364222,-0.04947334234782324
13,366,365,0.40273972602739727,-290.27982478585966,-0.7952871911941359,-0.02910615694707042
14,366,365,0.5397260273972603,-131.02012475362528,-0.3589592459003431,-0.014052376141676834
15,366,365,0.536986301369863,-156.37461490497645,-0.4284236024793874,-0.017131187575958114
16,366,365,0.410958904109589,-282.2186934901653,-0.7732018999730556,-0.03203274202876035
17,366,365,0.3863013698630137,-323.7065193874083,-0.886867176403858,-0.03295180819701061
18,366,365,0.4383561643835616,-251.64949073614383,-0.6894506595510788,-0.02496941448732414
19,366,365,0.4575342465753425,-150.07602105214244,-0.4111671809647739,-0.02259942890237211
20,366,365,0.42191780821917807,-189.36145026732808,-0.5187984938830905,-0.021153994292695443
