fold,test_days,total_trades,win_rate,net_pnl,expectancy,max_drawdown
1,150,60,0.21666666666666667,-473.5012383091536,-7.891687305152561,-0.04861154537388466
2,150,50,0.22,-327.63860681501217,-6.552772136300243,-0.05170271656791916
3,150,22,0.4090909090909091,115.438769196428,5.247216781655826,-0.015578276869547861
4,150,39,0.1794871794871795,-604.1735794782356,-15.491630243031672,-0.06481109805454835
5,150,58,0.1896551724137931,-652.2330948800208,-11.245398187586568,-0.09083619479980586
6,150,47,0.23404255319148937,-316.64099454519976,-6.737042437131912,-0.04083174332308407
7,150,50,0.18,-1254.3882502999422,-25.08776500599884,-0.1254388250299944
8,150,37,0.16216216216216217,-1230.5195750000012,-33.25728581081084,-0.13861583710385228
9,150,36,0.3055555555555556,-21.901906828962183,-0.6083863008045043,-0.049361896845702906
10,150,30,0.5333333333333333,505.50668439592636,16.850222813197547,-0.04034297792614878
