fold,test_size,filtered_signals,total_trades,win_rate,net_pnl,expectancy,max_drawdown
1,366,18,18,0.2222222222222222,-23.013206055341442,-1.278511447518969,-0.004577568724660274
2,366,63,63,0.4603174603174603,-9.952653727667577,-0.15797863059789852,-0.004160900806340715
3,366,10,10,0.3,-12.217249755396189,-1.2217249755396193,-0.0016421966515114696
4,366,1,1,0.0,-2.7634734579903615,-2.7634734579903615,-0.00027634734579896756
5,366,25,25,0.36,-23.71985177271706,-0.9487940709086825,-0.002371985177271927
6,366,15,15,0.3333333333333333,-14.635842895616728,-0.9757228597077822,-0.0018133142395173974
7,366,0,0,0.0,0.0,0.0,0.0
8,366,15,15,0.26666666666666666,-24.795489017023332,-1.6530326011348884,-0.0043444232955697866
9,366,4,4,0.25,-11.945639807346893,-2.9864099518367233,-0.0013724529977853308
10,366,3,3,0.3333333333333333,-2.010801557813367,-0.6702671859377893,-0.0005406370468423715
11,366,7,7,0.0,-26.92022258922036,-3.845746084174337,-0.002692022258922043
12,366,1,1,1.0,0.9604449032374638,0.9604449032374638,0.0
13,366,1,1,0.0,-2.451818580055237,-2.451818580055237,-0.000245181858005526
14,366,8,8,0.125,-13.426637758990669,-1.6783297198738334,-0.0014396174490769811
15,366,84,84,0.2619047619047619,-108.46120086394713,-1.2912047721898468,-0.01084612008639433
16,366,10,10,0.3,-11.783819239480103,-1.1783819239480104,-0.0011812364940903606
17,366,1,1,1.0,1.584490831102638,1.584490831102638,0.0
18,366,12,12,0.8333333333333334,6.865344172559535,0.5721120143799615,-0.00031125684323999876
19,366,12,12,0.3333333333333333,-11.16598348854612,-0.93049862404551,-0.0013015267274675902
20,366,7,7,0.5714285714285714,0.5557759757178276,0.07939656795968952,-0.0007052937597363544
