tp_mult,sl_mult,conf_threshold,n_folds,avg_total_trades,avg_win_rate,avg_expectancy,total_pnl
3.0,1.0,0.4,20,19.0,0.27813241136191685,0.14260061066918023,-32.599579868126646
3.0,1.0,0.35,20,34.95,0.33515761048521286,0.023384403734053406,42.75502479532585
2.5,1.0,0.4,20,27.6,0.3405674108126725,-0.00442377156363648,-69.64827213931899
2.5,1.0,0.45,20,16.1,0.2637555969964437,-0.03787759984776066,49.152735093538546
2.5,1.0,0.35,20,70.6,0.4224007601303358,-0.03953329191245809,-114.51387714992508
3.0,1.0,0.45,20,14.25,0.18815707445612004,-0.06345794396652596,24.095139834171917
2.0,1.0,0.4,20,71.7,0.43866705642989795,-0.12863592814487224,-463.401059653297
1.5,1.0,0.55,20,19.25,0.22124474925931925,-0.14402207419768648,-366.62110173191394
3.0,1.0,0.5,20,8.05,0.13791979949874683,-0.20421952570600949,-71.68785170139608
2.5,1.0,0.5,20,8.2,0.150406162464986,-0.23261669060123008,-80.25126369539048
3.0,1.0,0.55,20,2.0,0.022134387351778657,-0.3203453932731327,-50.15531345589491
2.0,1.0,0.35,20,144.75,0.41738691187411414,-0.39322540753036556,-1623.2514412896721
2.0,1.0,0.45,20,24.75,0.3151864449203868,-0.438154781228809,-207.98369286251102
2.5,1.0,0.55,20,1.05,0.025,-0.47510283307450135,-28.760698223631763
2.0,1.0,0.5,20,13.6,0.1184259259259259,-0.5365430487540939,-58.15557108978561
2.0,1.0,0.55,20,9.75,0.0820178529480855,-0.5925389263640535,-147.6252702049801
1.5,1.0,0.5,20,43.1,0.3112924138235299,-0.6671328804212272,-772.4641981201183
1.5,1.0,0.4,20,166.15,0.44975144093785974,-0.6674295248777214,-2850.3041052431126
1.5,1.0,0.35,20,219.55,0.4337997973840615,-0.818605930393573,-4005.7491422534013
1.5,1.0,0.45,20,104.5,0.3996301877244999,-0.9978222326394036,-1951.114472936154
