tp,sl,total_pnl,mean_pnl,std_pnl,profitable,count
3.5,1.0,326.89142176339317,46.69877453762759,318.31524320764953,2,7
3.25,1.0,307.5644607910166,43.93778011300237,319.47064716490553,2,7
3.5,0.75,260.2103488525403,37.17290697893433,334.03548218664713,3,7
3.25,0.75,259.531499103657,37.07592844337957,333.53640920562736,3,7
2.5,1.0,243.74980276227447,34.82140039461064,265.18176538459966,3,7
2.5,1.25,220.36045514090196,31.48006502012885,295.94904127169957,4,7
3.0,1.0,179.01613402622922,25.57373343231846,302.5735058077208,2,7
3.5,1.125,167.71282853655168,23.95897550522167,330.0199157168184,2,7
3.0,0.75,152.65834759696088,21.80833537099441,314.8550758461006,3,7
3.25,1.125,151.41979439174258,21.631399198820368,331.77954807023536,2,7
3.5,1.25,137.42859653320363,19.63265664760052,342.73396743607196,3,7
3.25,1.25,117.38557546735626,16.76936792390804,344.293467069472,3,7
3.5,0.875,105.05428653564479,15.007755219377827,349.27315776902685,3,7
3.25,0.875,104.3754367867615,14.910776683823071,348.95951284031827,3,7
2.5,1.125,99.0990764439158,14.1570109205594,274.5951128381596,3,7
2.5,0.875,94.09236445137924,13.441766350197033,275.01123931768586,3,7
2.5,0.75,88.93447936314067,12.70492562330581,264.52579327545754,2,7
2.75,1.0,50.46780726144186,7.2096867516345515,285.8198001145028,2,7
2.75,0.75,45.78519609026523,6.540742298609318,296.2506894502918,2,7
3.0,1.125,22.871467626955223,3.26735251813646,315.0855468261522,2,7
2.75,1.25,21.81805314592964,3.1168647351328054,298.38362495536177,3,7
3.0,0.875,-2.4977147199346064,-0.35681638856208664,330.4476059998244,2,7
3.0,1.25,-17.946665046035946,-2.5638092922908493,328.02458261678504,3,7
2.75,1.125,-105.67685913783214,-15.096694162547449,298.55172889080615,2,7
2.75,0.875,-109.37086622663026,-15.624409460947179,312.02895492842896,2,7
