period,tp_mult,sl_mult,total_trades,win_rate,total_pnl,expectancy,max_drawdown,conf_threshold
2010-2012,2.5,0.75,15,0.0,-114.72754363490546,-7.648502908993697,-0.01147275436349064,0.1080317348241806
2010-2012,2.5,0.875,15,0.0,-122.93101466064465,-8.19540097737631,-0.012293101466064217,0.1080317348241806
2010-2012,2.5,1.0,15,0.0,-136.8853304129461,-9.125688694196407,-0.013688533041294795,0.1080317348241806
2010-2012,2.5,1.125,15,0.0,-151.64311021554155,-10.109540681036103,-0.015164311021554204,0.1080317348241806
2010-2012,2.5,1.25,15,0.0,-166.4008900181361,-11.09339266787574,-0.016640089001813976,0.1080317348241806
2010-2012,2.75,0.75,15,0.0,-114.72754363490546,-7.648502908993697,-0.01147275436349064,0.1080317348241806
2010-2012,2.75,0.875,15,0.0,-122.93101466064465,-8.19540097737631,-0.012293101466064217,0.1080317348241806
2010-2012,2.75,1.0,15,0.0,-136.8853304129461,-9.125688694196407,-0.013688533041294795,0.1080317348241806
2010-2012,2.75,1.125,15,0.0,-151.64311021554155,-10.109540681036103,-0.015164311021554204,0.1080317348241806
2010-2012,2.75,1.25,15,0.0,-166.4008900181361,-11.09339266787574,-0.016640089001813976,0.1080317348241806
2010-2012,3.0,0.75,15,0.0,-114.72754363490546,-7.648502908993697,-0.01147275436349064,0.1080317348241806
2010-2012,3.0,0.875,15,0.0,-122.93101466064465,-8.19540097737631,-0.012293101466064217,0.1080317348241806
2010-2012,3.0,1.0,15,0.0,-136.8853304129461,-9.125688694196407,-0.013688533041294795,0.1080317348241806
2010-2012,3.0,1.125,15,0.0,-151.64311021554155,-10.109540681036103,-0.015164311021554204,0.1080317348241806
2010-2012,3.0,1.25,15,0.0,-166.4008900181361,-11.09339266787574,-0.016640089001813976,0.1080317348241806
2010-2012,3.25,0.75,15,0.0,-114.72754363490546,-7.648502908993697,-0.01147275436349064,0.1080317348241806
2010-2012,3.25,0.875,15,0.0,-122.93101466064465,-8.19540097737631,-0.012293101466064217,0.1080317348241806
