number,value,datetime_start,datetime_complete,duration,params_fast_ma,params_risk_per_trade,params_sl_mult,params_slow_ma,params_tp_mult,user_attrs_cagr,user_attrs_final_pnl,user_attrs_max_dd,user_attrs_num_trades,user_attrs_sharpe,user_attrs_win_rate,state
0,-0.07945693384236743,2026-01-02 09:46:48.881171,2026-01-02 09:46:49.992020,0 days 00:00:01.110849,20,0.015,2.0,50,2.75,,-18353.656088247117,-280.9288033146501,24187,-0.07945693384236743,0.4523090916608095,COMPLETE
1,-0.049957274885545244,2026-01-02 09:46:49.993674,2026-01-02 09:46:50.482120,0 days 00:00:00.488446,25,0.018000000000000002,0.5,80,2.0,,-16420.742738042216,-158.04959622290588,24187,-0.049957274885545244,0.2952412452970604,COMPLETE
2,0.09857269578686143,2026-01-02 09:46:50.483293,2026-01-02 09:46:51.209506,0 days 00:00:00.726213,15,0.017,2.0,50,1.5,,-38590.81649010876,-429.53883347803156,24187,0.09857269578686143,0.5035349567949725,COMPLETE
3,0.07278652332365144,2026-01-02 09:46:51.210816,2026-01-02 09:46:51.807419,0 days 00:00:00.596603,20,0.011,1.0,60,2.0,,-20819.91563131498,-214.81444152349903,24187,0.07278652332365144,0.38471079505519495,COMPLETE
4,0.20199377071066557,2026-01-02 09:46:51.808617,2026-01-02 09:46:52.453687,0 days 00:00:00.645070,15,0.006,0.5,70,3.75,0.6676753780007649,8941.284749500915,-76.7502449966815,24187,0.20199377071066557,0.2041592591061314,COMPLETE
5,0.029012041158598113,2026-01-02 09:46:52.454887,2026-01-02 09:46:53.289496,0 days 00:00:00.834609,20,0.011,0.75,40,4.25,-0.05177176769700642,-484.9239729451838,-91.76006578542209,24187,0.029012041158598113,0.21284160912887087,COMPLETE
6,0.40872006812686335,2026-01-02 09:46:53.290814,2026-01-02 09:46:54.040253,0 days 00:00:00.749439,30,0.002,0.75,100,3.75,1.0776092042710017,17978.268720210217,-55.96124834645567,24187,0.40872006812686335,0.2451316823086782,COMPLETE
7,0.43528098026907047,2026-01-02 09:46:54.041478,2026-01-02 09:46:55.019607,0 days 00:00:00.978129,25,0.002,1.0,70,4.5,1.4066035422380496,28219.634431919294,-66.67655398412974,24187,0.43528098026907047,0.24653739612188366,COMPLETE
8,0.10859259492985002,2026-01-02 09:46:55.020856,2026-01-02 09:46:55.648040,0 days 00:00:00.627184,30,0.001,1.25,50,1.75,,-31720.706345509217,-336.8624445966269,24187,0.10859259492985002,0.44246909496837145,COMPLETE
9,0.052615048261354845,2026-01-02 09:46:55.649132,2026-01-02 09:46:56.499275,0 days 00:00:00.850143,20,0.011,1.0,50,3.75,0.0035128431421505013,33.77543084912941,-105.56432931679547,24187,0.052615048261354845,0.2688220945135817,COMPLETE
10,0.5692735496306626,2026-01-02 09:46:56.500491,2026-01-02 09:46:57.857155,0 days 00:00:01.356664,10,0.006,1.5,90,5.0,1.9290073460676238,52587.775399790415,-66.82940363824204,24187,0.5692735496306626,0.29317401910117,COMPLETE
11,0.5692735496306626,2026-01-02 09:46:57.858360,2026-01-02 09:46:59.199081,0 days 00:00:01.340721,10,0.006,1.5,90,5.0,1.9290073460676238,52587.775399790415,-66.82940363824204,24187,0.5692735496306626,0.29317401910117,COMPLETE
12,0.6669133096354034,2026-01-02 09:46:59.200322,2026-01-02 09:47:00.557312,0 days 00:00:01.356990,10,0.006,1.5,100,5.0,2.0944104463356705,63127.63560665827,-51.59447382783624,24187,0.6669133096354034,0.29482780005788234,COMPLETE
13,0.6669133096354034,2026-01-02 09:47:00.558642,2026-01-02 09:47:01.893831,0 days 00:00:01.335189,10,0.006,1.5,100,5.0,2.0944104463356705,63127.63560665827,-51.59447382783624,24187,0.6669133096354034,0.29482780005788234,COMPLETE
14,0.4269527808005454,2026-01-02 09:47:01.894996,2026-01-02 09:47:03.305850,0 days 00:00:01.410854,10,0.008,1.75,100,4.5,1.7081279343474476,40822.4801753406,-66.4551829767537,24187,0.4269527808005454,0.34171249018067557,COMPLETE
15,-0.018842108545977305,2026-01-02 09:47:03.307329,2026-01-02 09:47:04.306936,0 days 00:00:00.999607,15,0.004,1.5,90,3.0,-0.955144149714382,-6019.713361749253,-172.60577049684395,24187,-0.018842108545977305,0.3832223921941539,COMPLETE
16,0.674585419617315,2026-01-02 09:47:04.308400,2026-01-02 09:47:05.989531,0 days 00:00:01.681131,10,0.008,1.75,100,5.0,2.220793097375884,72348.19244867125,-50.43011662977008,24187,0.674585419617315,0.3239343448960185,COMPLETE
17,0.21829258926437892,2026-01-02 09:47:05.992732,2026-01-02 09:47:07.395598,0 days 00:00:01.402866,15,0.008,1.75,80,4.25,1.330966170336212,25577.97818562964,-88.42214872905984,24187,0.21829258926437892,0.346549799479059,COMPLETE
18,-0.07401055418167114,2026-01-02 09:47:07.397009,2026-01-02 09:47:08.333046,0 days 00:00:00.936037,10,0.013000000000000001,1.75,80,2.5,,-16853.184145387575,-251.5892997673147,24187,-0.07401055418167114,0.4486294290321247,COMPLETE
19,0.1091319631954488,2026-01-02 09:47:08.334297,2026-01-02 09:47:09.284533,0 days 00:00:00.950236,15,0.02,1.25,90,3.5,0.6176843964960099,8059.375158116083,-96.86991355206118,24187,0.1091319631954488,0.32285938727415553,COMPLETE
