symbol,entry,exit,shares,entry_value,percent_of_equity_at_entry,risk_amount_usd,risk_pct_of_equity,pnl,pnl_percent,exit_reason,entry_time_idx
TSLA,417.8500061035156,426.010009765625,23,9610.55,96.1055,96.11,0.961055,187.68008422851562,1.876800842285156,BACKTEST_END,-1
AMZN,199.33999633789062,263.989990234375,50,9967.0,99.67,99.67,0.9967,3232.4996948242188,32.32499694824219,TAKE_PROFIT_OR_OPPOSITE_SIGNAL,229
AMZN,268.4599914550781,266.32000732421875,49,13154.54,131.5454,131.55,1.315454,-104.85922241210938,-1.0485922241210939,BACKTEST_END,-1
META,615.6799926757812,609.5231927490235,16,9850.88,98.5088,98.51,0.985088,-98.50879882812478,-0.9850879882812478,STOP_LOSS,204
META,593.6599731445312,587.7233734130859,16,9498.56,94.9856,94.99,0.949856,-94.985595703125,-0.94985595703125,STOP_LOSS,209
META,525.719970703125,610.260009765625,18,9462.96,94.6296,94.63,0.946296,1521.720703125,15.217207031249998,BACKTEST_END,-1
GOOGL,332.9100036621094,382.9700012207031,30,9987.3,99.873,99.87,0.99873,1501.7999267578125,15.017999267578125,BACKTEST_END,-1
JPM,314.8999938964844,311.75099395751954,31,9761.9,97.619,97.62,0.97619,-97.61899810790987,-0.9761899810790987,STOP_LOSS,238
DIS,99.29000091552734,98.29710090637207,100,9929.0,99.29,99.29,0.9929,-99.2900009155278,-0.992900009155278,STOP_LOSS,206
DIS,96.38999938964844,95.42609939575195,102,9831.78,98.3178,98.32,0.983178,-98.31779937744199,-0.9831779937744198,STOP_LOSS,208
DIS,94.75,93.8025,103,9759.25,97.5925,97.59,0.975925,-97.59250000000053,-0.9759250000000053,STOP_LOSS,210
LLY,1021.4099731445312,1011.1958734130859,9,9192.69,91.9269,91.93,0.919269,-91.9268975830081,-0.9192689758300809,STOP_LOSS,247
LLY,1041.6500244140625,1065.0,9,9374.85,93.7485,93.75,0.937485,210.1497802734375,2.1014978027343747,BACKTEST_END,-1
